IATA,City,Timezone
GRJ,George,Africa/Johannesburg
HRS,Harrismith,Africa/Johannesburg
HDS,Hoedspruit,Africa/Johannesburg
JNB,Johannesburg,Africa/Johannesburg
KXE,Klerksdorp,Africa/Johannesburg
KIM,Kimberley,Africa/Johannesburg
KMH,Kuruman,Africa/Johannesburg
KLZ,Kleinsee,Africa/Johannesburg
HLA,Johannesburg,Africa/Johannesburg
SDB,Langebaanweg,Africa/Johannesburg
LAY,Ladysmith,Africa/Johannesburg
MGH,Margate,Africa/Johannesburg
LLE,Malalane,Africa/Johannesburg
MZQ,Mkuze,Africa/Johannesburg
NCS,Newcastle,Africa/Johannesburg
OVG,Overberg,Africa/Johannesburg
OUH,Oudtshoorn,Africa/Johannesburg
PLZ,Port Elizabeth,Africa/Johannesburg
PBZ,Plettenberg Bay,Africa/Johannesburg
PHW,Phalaborwa,Africa/Johannesburg
JOH,Port Saint Johns,Africa/Johannesburg
PZB,Pietermaritzburg,Africa/Johannesburg
NTY,Pilanesberg,Africa/Johannesburg
PTG,Potgietersrus,Africa/Johannesburg
PCF,Potchefstroom,Africa/Johannesburg
UTW,Queenstown,Africa/Johannesburg
RCB,Richard's Bay,Africa/Johannesburg
ROD,Robertson,Africa/Johannesburg
SBU,Springbok,Africa/Johannesburg
ZEC,Secunda,Africa/Johannesburg
SIS,Sishen,Africa/Johannesburg
SZK,Skukuza,Africa/Johannesburg
LTA,Tzaneen,Africa/Johannesburg
ULD,Ulundi,Africa/Johannesburg
UTN,Upington,Africa/Johannesburg
UTT,Umtata,Africa/Johannesburg
VRU,Vryburg,Africa/Johannesburg
VIR,Durban,Africa/Johannesburg
VRE,Vredendal,Africa/Johannesburg
PRY,Pretoria,Africa/Johannesburg
WKF,Waterkloof,Africa/Johannesburg
FRW,Francistown,Africa/Gaborone
JWA,Jwaneng,Africa/Gaborone
BBK,Kasane,Africa/Gaborone
MUB,Maun,Africa/Gaborone
GBE,Gaberone,Africa/Gaborone
PKW,Selebi-phikwe,Africa/Gaborone
BZV,Brazzaville,Africa/Brazzaville
FTX,Owando,Africa/Brazzaville
OUE,Ouesso,Africa/Brazzaville
PNR,Pointe-noire,Africa/Brazzaville
MTS,Manzini,Africa/Mbabane
BGF,Bangui,Africa/Bangui
BBT,Berberati,Africa/Bangui
BSG,Bata,Africa/Malabo
SSG,Malabo,Africa/Malabo
ASI,Wide Awake,Atlantic/St_Helena
MRU,Plaisance,Indian/Mauritius
RRG,Rodriguez Island,Indian/Mauritius
NKW,Diego Garcia Island,Indian/Chagos
TKC,Tiko,Africa/Douala
DLA,Douala,Africa/Douala
MVR,Maroua,Africa/Douala
FOM,Foumban,Africa/Douala
NGE,N'gaoundere,Africa/Douala
GOU,Garoua,Africa/Douala
BFX,Bafoussam,Africa/Douala
BPC,Bamenda,Africa/Douala
YAO,Yaounde,Africa/Douala
CGJ,Kasompe,Africa/Lusaka
LVI,Livingstone,Africa/Lusaka
LUN,Lusaka,Africa/Lusaka
MFU,Mfuwe,Africa/Lusaka
MNR,Mongu,Africa/Lusaka
NLA,Ndola,Africa/Lusaka
KIW,Southdowns,Africa/Lusaka
HAH,Moroni,Indian/Comoro
NWA,Moheli,Indian/Comoro
AJN,Anjouan,Indian/Comoro
DZA,Dzaoudzi,Indian/Mayotte
RUN,St.-denis,Indian/Reunion
ZSE,St.-pierre,Indian/Reunion
TNR,Antananarivo,Indian/Antananarivo
ZVA,Miandrivazo,Indian/Antananarivo
SMS,Sainte Marie,Indian/Antananarivo
TMM,Toamasina,Indian/Antananarivo
MOQ,Morondava,Indian/Antananarivo
DIE,Antsiranana,Indian/Antananarivo
WMR,Mananara,Indian/Antananarivo
ZWA,Andapa,Indian/Antananarivo
AMB,Ambilobe,Indian/Antananarivo
ANM,Antalaha,Indian/Antananarivo
HVA,Analalava,Indian/Antananarivo
MJN,Mahajanga,Indian/Antananarivo
NOS,Nosy-be,Indian/Antananarivo
BPY,Besalampy,Indian/Antananarivo
WMN,Maroantsetra,Indian/Antananarivo
SVB,Sambava,Indian/Antananarivo
VOH,Vohemar,Indian/Antananarivo
WAI,Antsohihy,Indian/Antananarivo
IVA,Ampampamena,Indian/Antananarivo
FTU,Tolagnaro,Indian/Antananarivo
WFI,Fianarantsoa,Indian/Antananarivo
RVA,Farafangana,Indian/Antananarivo
WVK,Manakara,Indian/Antananarivo
MNJ,Mananjary,Indian/Antananarivo
MXM,Morombe,Indian/Antananarivo
TLE,Toliara,Indian/Antananarivo
SSY,M'banza-congo,Africa/Luanda
BUG,Benguela,Africa/Luanda
CAB,Cabinda,Africa/Luanda
NOV,Huambo,Africa/Luanda
SVP,Kuito,Africa/Luanda
LAD,Luanda,Africa/Luanda
